form_name,machine_name,data_type,recommended
Acronym,field_wbddh_acronym,Time Series,1
Acronym,field_wbddh_acronym,Geospatial,1
Acronym,field_wbddh_acronym,Mircodata,1
Acronym,field_wbddh_acronym,Other,1
Are you the responsible TTL for this dataset?,field_wbddh_responsible,Time Series,1
Are you the responsible TTL for this dataset?,field_wbddh_responsible,Geospatial,1
Are you the responsible TTL for this dataset?,field_wbddh_responsible,Mircodata,1
Are you the responsible TTL for this dataset?,field_wbddh_responsible,Other,1
Collaborator Name(s),field_wbddh_collaborator_upi,Time Series,1
Collaborator Name(s),field_wbddh_collaborator_upi,Geospatial,1
Collaborator Name(s),field_wbddh_collaborator_upi,Mircodata,1
Collaborator Name(s),field_wbddh_collaborator_upi,Other,1
Collections,NA,Time Series,1
Collections,NA,Geospatial,1
Collections,NA,Mircodata,1
Collections,NA,Other,1
Custom License Information,field_wbddh_type_of_license,Time Series,1
Custom License Information,field_wbddh_type_of_license,Geospatial,1
Custom License Information,field_wbddh_type_of_license,Mircodata,1
Custom License Information,field_wbddh_type_of_license,Other,1
Data Classification of a Dataset,field_wbddh_data_class,Time Series,1
Data Classification of a Dataset,field_wbddh_data_class,Geospatial,1
Data Classification of a Dataset,field_wbddh_data_class,Mircodata,1
Data Classification of a Dataset,field_wbddh_data_class,Other,1
Data Collection Dates,field_wbddh_data_dates,Time Series,NA
Data Collection Dates,field_wbddh_data_dates,Geospatial,NA
Data Collection Dates,field_wbddh_data_dates,Mircodata,1
Data Collection Dates,field_wbddh_data_dates,Other,NA
Data Type,field_wbddh_data_type,Time Series,1
Data Type,field_wbddh_data_type,Geospatial,1
Data Type,field_wbddh_data_type,Mircodata,1
Data Type,field_wbddh_data_type,Other,1
Description,body,Time Series,1
Description,body,Geospatial,1
Description,body,Mircodata,1
Description,body,Other,1
Economy Coverage,field_wbddh_economy_coverage,Time Series,1
Economy Coverage,field_wbddh_economy_coverage,Geospatial,1
Economy Coverage,field_wbddh_economy_coverage,Mircodata,1
Economy Coverage,field_wbddh_economy_coverage,Other,1
Exception,field_exception_s_,Time Series,1
Exception,field_exception_s_,Geospatial,1
Exception,field_exception_s_,Mircodata,1
Exception,field_exception_s_,Other,1
"Funding Name, Abbreviation, Role",field_wbddh_funding_name,Time Series,NA
"Funding Name, Abbreviation, Role",field_wbddh_funding_name,Geospatial,NA
"Funding Name, Abbreviation, Role",field_wbddh_funding_name,Mircodata,1
"Funding Name, Abbreviation, Role",field_wbddh_funding_name,Other,NA
Geographical Coverage,field_wbddh_country,Time Series,1
Geographical Coverage,field_wbddh_country,Geospatial,1
Geographical Coverage,field_wbddh_country,Mircodata,1
Geographical Coverage,field_wbddh_country,Other,1
Languages Supported,field_wbddh_languages_supported,Time Series,1
Languages Supported,field_wbddh_languages_supported,Geospatial,1
Languages Supported,field_wbddh_languages_supported,Mircodata,1
Languages Supported,field_wbddh_languages_supported,Other,1
License,field_license_wbddh,Time Series,1
License,field_license_wbddh,Geospatial,1
License,field_license_wbddh,Mircodata,1
License,field_license_wbddh,Other,1
Other Collections,NA,Time Series,1
Other Collections,NA,Geospatial,1
Other Collections,NA,Mircodata,1
Other Collections,NA,Other,1
"Other Producer (s) Name, Affiliation, Role",field_wbddh_other_producer,Time Series,NA
"Other Producer (s) Name, Affiliation, Role",field_wbddh_other_producer,Geospatial,NA
"Other Producer (s) Name, Affiliation, Role",field_wbddh_other_producer,Mircodata,1
"Other Producer (s) Name, Affiliation, Role",field_wbddh_other_producer,Other,NA
Periodicity,field_wbddh_periodicity,Time Series,1
Periodicity,field_wbddh_periodicity,Geospatial,1
Periodicity,field_wbddh_periodicity,Mircodata,NA
Periodicity,field_wbddh_periodicity,Other,1
Title,title,Time Series,1
Title,title,Geospatial,1
Title,title,Mircodata,1
Title,title,Other,1
Topics,field_topic,Time Series,1
Topics,field_topic,Geospatial,1
Topics,field_topic,Mircodata,1
Topics,field_topic,Other,1
TTL Name or UPI,field_wbddh_dsttl_upi,Time Series,1
TTL Name or UPI,field_wbddh_dsttl_upi,Geospatial,1
TTL Name or UPI,field_wbddh_dsttl_upi,Mircodata,1
TTL Name or UPI,field_wbddh_dsttl_upi,Other,1
